Player,Mat,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Team
PA van Meekeren,9,74.2,1,447,12,37.25,6.01,37.16,1,0,Netherlands
Kuldeep Yadav,11,95.1,2,424,15,28.26,4.45,38.06,0,0,India
Shoriful Islam,8,64.4,3,409,10,40.90,6.32,38.80,0,0,Bangladesh
TA Boult,10,91.0,6,504,14,36.00,5.53,39.00,0,0,New Zealand
MR Marsh,10,13.0,0,96,2,48.00,7.38,39.00,0,0,Australia
Fazalhaq Farooqi,6,40.0,2,228,6,38.00,5.70,40.00,1,0,Afghanistan
GD Phillips,10,40.0,1,233,6,38.83,5.82,40.00,0,0,New Zealand
Naveen-ul-Haq,8,53.4,1,352,8,44.00,6.55,40.25,0,0,Afghanistan
Shakib Al Hasan,7,62.3,1,329,9,36.55,5.26,41.66,0,0,Bangladesh
AL Phehlukwayo,1,7.0,0,36,1,36.00,5.14,42.00,0,0,South Africa
Mehidy Hasan Miraz,9,72.0,3,402,10,40.20,5.58,43.20,0,0,Bangladesh
JDS Neesham,3,14.3,0,157,2,78.50,10.82,43.50,0,0,New Zealand
Noor Ahmad,4,38.0,1,182,5,36.40,4.78,45.60,0,0,Afghanistan
Mohammad Nabi,9,61.3,4,254,8,31.75,4.13,46.12,0,0,Afghanistan
A Dutt,9,77.3,6,426,10,42.60,5.49,46.50,0,0,Netherlands
Rashid Khan,9,86.3,2,388,11,35.27,4.48,47.18,0,0,Afghanistan
SN Thakur,3,17.0,0,102,2,51.00,6.00,51.00,0,0,India
MM Ali,6,42.4,0,248,5,49.60,5.81,51.20,0,0,England
SM Curran,3,17.2,2,140,2,70.00,8.07,52.00,0,0,England
Usama Mir,4,35.0,0,248,4,62.00,7.08,52.50,0,0,Pakistan
MA Wood,7,54.0,1,349,6,58.16,6.46,54.00,0,0,England
RE van der Merwe,8,56.0,0,311,6,51.83,5.55,56.00,0,0,Netherlands
CN Ackermann,9,47.2,2,234,5,46.80,4.94,56.80,0,0,Netherlands
M Pathirana,2,19.0,0,185,2,92.50,9.73,57.00,0,0,Sri Lanka
LS Livingstone,6,29.0,1,158,3,52.66,5.44,58.00,0,0,England
R Ashwin,1,10.0,1,34,1,34.00,3.40,60.00,0,0,India
JE Root,9,10.1,0,67,1,67.00,6.59,61.00,0,0,England
Mujeeb Ur Rahman,9,81.5,2,458,8,57.25,5.59,61.37,0,0,Afghanistan
TM Head,6,21.0,0,101,2,50.50,4.80,63.00,0,0,Australia
Taskin Ahmed,7,55.0,3,305,5,61.00,5.54,66.00,0,0,Bangladesh
GJ Maxwell,9,68.3,1,330,6,55.00,4.81,68.50,0,0,Australia
M Theekshana,8,71.2,1,382,6,63.66,5.35,71.33,0,0,Sri Lanka
Iftikhar Ahmed,9,48.0,0,262,4,65.50,5.45,72.00,0,0,Pakistan
Mustafizur Rahman,8,65.4,3,398,5,79.60,6.06,78.80,0,0,Bangladesh
R Ravindra,10,65.4,0,393,5,78.60,5.98,78.80,0,0,New Zealand
DN Wellalage,3,29.2,0,196,2,98.00,6.68,88.00,0,0,Sri Lanka
PVD Chameera,4,31.2,3,196,2,98.00,6.25,94.00,0,0,Sri Lanka
AK Markram,10,18.3,1,85,1,85.00,4.59,111.00,0,0,South Africa
Mohammad Nawaz,5,37.5,0,223,2,111.50,5.89,113.50,0,0,Pakistan
Shadab Khan,6,38.0,0,237,2,118.50,6.23,114.00,0,0,Pakistan
Abdullah Shafique,8,0.0,0,0,0,0,0,0,0,0,Pakistan
Agha Salman,3,5.0,0,46,0,0,9.20,0,0,0,Pakistan
KIC Asalanka,9,1.0,0,10,0,0,10.00,0,0,0,Sri Lanka
Babar Azam,9,0.0,0,0,0,0,0,0,0,0,Pakistan
JM Bairstow,9,0.0,0,0,0,0,0,0,0,0,England
W Barresi,4,0.0,0,0,0,0,0,0,0,0,Netherlands
T Bavuma,8,0.0,0,0,0,0,0,0,0,0,South Africa
HC Brook,6,0.0,0,0,0,0,0,0,0,0,England
JC Buttler,9,0.0,0,0,0,0,0,0,0,0,England
AT Carey,1,0.0,0,0,0,0,0,0,0,0,Australia
MS Chapman,8,0.0,0,0,0,0,0,0,0,0,New Zealand
DP Conway,10,0.0,0,0,0,0,0,0,0,0,New Zealand
Q de Kock,10,0.0,0,0,0,0,0,0,0,0,South Africa
DM de Silva,8,25.0,0,174,0,0,6.96,0,0,0,Sri Lanka
SA Edwards,9,0.0,0,0,0,0,0,0,0,0,Netherlands
SA Engelbrecht,8,0.0,0,0,0,0,0,0,0,0,Netherlands
